genome,strain_name,name,species
GCF_001434585.1,JCM 15951,Lactobacillus crustorum,Lactobacillus crustorum
GCF_001434575.1,DSM 20003,Lactobacillus bifermentans,Lactobacillus bifermentans
GCF_001434555.1,DSM 20534,Lactobacillus amylotrophicus,Lactobacillus amylotrophicus
GCF_001434935.1,DSM 19971,Lactobacillus uvarum,Lactobacillus uvarum
GCF_001434915.1,DSM 19910,Lactobacillus capillatus,Lactobacillus capillatus
GCF_001434895.1,DSM 19909,Lactobacillus odoratitofui,Lactobacillus odoratitofui
GCF_001434835.1,DSM 19394,Lactobacillus acidifarinae,Lactobacillus acidifarinae
GCF_001434815.1,DSM 19284,Lactobacillus equicursoris,Lactobacillus equicursoris
GCF_001434845.1,DSM 19519,Lactobacillus hordei,Lactobacillus hordei
GCF_001434855.1,DSM 19674,Lactobacillus bobalius,Lactobacillus bobalius
GCF_001434785.1,DSM 19117,Lactobacillus namurensis,Lactobacillus namurensis
GCF_001434775.1,DSM 20184,Lactobacillus farciminis,Lactobacillus farciminis
GCF_001434745.1,DSM 20249,Lactobacillus alimentarius,Lactobacillus alimentarius
GCF_001435155.1,DSM 15945,Lactobacillus pantheris,Lactobacillus pantheris
GCF_001435135.1,DSM 15814,Lactobacillus rossiae,Lactobacillus rossiae
GCF_001435115.1,DSM 15502,Lactobacillus paracollinoides,Lactobacillus paracollinoides
GCF_001435095.1,DSM 15429,Lactobacillus spicheri,Lactobacillus spicheri
GCF_001435065.1,DSM 14340,Lactobacillus fuchuensis,Lactobacillus fuchuensis
GCF_001435035.1,DSM 13343,Lactobacillus manihotivorans,Lactobacillus manihotivorans
GCF_001435015.1,DSM 13335,Lactobacillus iners,Lactobacillus iners
GCF_001434985.1,DSM 13238,Lactobacillus paralimentarius,Lactobacillus paralimentarius
GCF_001434975.1,DSM 10532,Lactobacillus gallinarum,Lactobacillus gallinarum
GCF_001434945.1,CGMCC 1.1877,Lactobacillus helveticus,Lactobacillus helveticus
GCF_001435375.1,DSM 20653,Lactobacillus aviarius subsp. araffinosus,Lactobacillus aviarius
GCF_001435325.1,DSM 6629,Lactobacillus intestinalis,Lactobacillus intestinalis
GCF_001435345.1,DSM 8475,Lactobacillus pontis,Lactobacillus pontis
GCF_001435315.1,DSM 5707,Lactobacillus parabuchneri,Lactobacillus parabuchneri
GCF_001435275.1,DSM 5016,Lactobacillus kefiranofaciens subsp. kefiranofaciens,Lactobacillus kefiranofaciens
GCF_001435245.1,DSM 18793,Lactobacillus equigenerosi,Lactobacillus equigenerosi
GCF_001435235.1,DSM 18630,Lactobacillus ghanensis,Lactobacillus ghanensis
GCF_001435215.1,DSM 16365,Lactobacillus plantarum subsp. argentoratensis,Lactobacillus plantarum
GCF_001435195.1,DSM 16230,Lactobacillus satsumensis,Lactobacillus satsumensis
GCF_001435165.1,DSM 16049,Lactobacillus saerimneri,Lactobacillus saerimneri
GCF_001435575.1,DSM 19904,Lactobacillus sunkii,Lactobacillus sunkii
GCF_001435555.1,DSM 19682,Lactobacillus nodensis,Lactobacillus nodensis
GCF_001435525.1,JCM 16448,Lactobacillus koreensis,Lactobacillus koreensis
GCF_001435505.1,JCM 17355,Lactobacillus futsaii,Lactobacillus futsaii
GCF_001435495.1,DSM 20019,Lactobacillus curvatus subsp. curvatus,Lactobacillus curvatus
GCF_001435475.1,DSM 16041,Lactobacillus antri,Lactobacillus antri
